link,category,name,img_url__001,brand,price,short_desc,img_url__002
https://www.thegioididong.com/cap-dien-thoai/cap-micro-15m-sony-cp-abp150,,Dây cáp Micro USB 1.5 m Sony CP-ABP150 Dây Nilon,https://cdn.tgdd.vn/Products/Images/58/139750/cap-micro-15m-sony-cp-abp150-12-600x600.jpg,null,290000,,
https://www.thegioididong.com/cap-dien-thoai/bo-adapter-sac-2-cong-3a-kem-cap-micro-50cm-sony,,Bộ Adapter sạc 2 cổng 3A kèm Cáp Micro 50 cm Sony CP-AD2M2,https://cdn.tgdd.vn/Products/Images/58/139756/bo-adapter-sac-2-cong-3a-kem-cap-micro-50cm-sony-ava-600x600.jpg,null,390000,,
https://www.thegioididong.com/cap-dien-thoai/cap-2-dau-type-c-micro-1m-evalu-spanker-b,,Cáp 2 đầu Type C Micro 1m eValu Spanker B,https://cdn.tgdd.vn/Products/Images/58/154783/cap-2-dau-type-c-micro-1m-evalu-spanker-b-avatar-1-600x600.jpg,null,150000,,
https://www.thegioididong.com/cap-dien-thoai/sac-khong-day-15a-sony-cp-wp1-trang,,Đế sạc không dây 1.5A Sony CP-WP1 Trắng,https://cdn.tgdd.vn/Products/Images/58/188328/sac-khong-day-15a-sony-cp-wp1-trang-1-1-600x600.jpg,null,750000,,
https://www.thegioididong.com/cap-dien-thoai/day-cap-micro-usb-025-m-eco,,Dây cáp Micro USB 25 cm ECO,https://cdn.tgdd.vn/Products/Images/58/92417/day-cap-micro-usb-025-m-eco-1-600x600.jpg,null,20000,,
https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-mbest-smxu75-trang,,Cáp Type C - Type C 2m Mbest SMXU75 Trắng,https://cdn.tgdd.vn/Products/Images/58/214762/cap-type-c-type-c-2m-mbest-smxu75-trang-1-600x600.jpg,null,150000,,
https://www.thegioididong.com/cap-dien-thoai/cap-sac-apple-watch-magnetic-type-c-03m-apple,,Cáp sạc không dây Apple Watch Magnetic Type C 0.3 m Apple MU9K2 Trắng,https://cdn.tgdd.vn/Products/Images/58/199097/adapter-sac-apple-watch-magnetic-type-c-30cm-apple-avatar-600x600.jpg,null,850000,,
https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-80cm-apple-mq4h2,,Cáp Type-C - Type-C 80 cm Apple MQ4H2,https://cdn.tgdd.vn/Products/Images/58/156780/cap-type-c-type-c-80cm-apple-mq4h2-600x600.jpg,null,1390000,,
https://www.thegioididong.com/mieng-dan-man-hinh/mieng-dan-man-hinh-galaxy-a50-a31-a30s,,Miếng dán màn hình Galaxy A50/A31/A30s/ Oppo A91,https://cdn.tgdd.vn/Products/Images/1363/200326/mieng-dan-man-hinh-galaxy-a50-avatar-2-600x600.jpg,null,50000,,
https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-omars-om03w-xam,,Cáp Lightning MFI 1 m Omars OM03W Xám,https://cdn.tgdd.vn/Products/Images/58/164828/cap-lightning-mfi-1m-omars-om03w-xam-avatar-1-fix1-600x600.jpg,null,250000,,
https://www.thegioididong.com/the-nho-dien-thoai/the-nho-microsd-200gb-class10uhs1,,Thẻ nhớ MicroSD 200 GB SanDisk Class 10,https://cdn.tgdd.vn/Products/Images/55/83106/the-nho-microsd-200gb-class10uhs1-fix-600x600.jpg,null,2100000,Thẻ nhớ microSD 200 GB class10_UHS1,
https://www.thegioididong.com/the-nho-dien-thoai/the-nho-microsd-128gb-class-10-uhs1,,Thẻ nhớ MicroSD 128 GB Class 10,https://cdn.tgdd.vn/Products/Images/55/71046/the-nho-microsd-128gb-class-10-uhs1-fix-600x600.jpg,null,1090000,,
https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-omars-omlc060p-gold,,Cáp Lightning MFI 2 m Omars OMLC060P Gold,https://cdn.tgdd.vn/Products/Images/58/177728/cap-lightning-mfi-2m-omars-omlc060p-gold-1-600x600.jpg,null,250000,Cáp Lightning MFI 2 m Omars OMLC060P Gold,
https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-aukey-cb-cd3-den,,Cáp Type-C 2 m AUKEY CB-CD3 Đen,https://cdn.tgdd.vn/Products/Images/58/203243/cap-type-c-2m-aukey-cb-cd3-den-1-fixx1-600x600.jpg,null,249000,,
https://www.thegioididong.com/cap-dien-thoai/cap-type-c-09m-anker-a8168-xam,,Cáp Type C 0.9m Anker A8168 Xám,https://cdn.tgdd.vn/Products/Images/58/218167/cap-type-c-09m-anker-a8168-xam-1-600x600.jpg,null,350000,,
https://www.thegioididong.com/cap-dien-thoai/sac-day-type-c-1a-1m-xmobile-ds199-wb,,Sạc dây Type-C 1A 1 m Xmobile DS199-WB Trắng,https://cdn.tgdd.vn/Products/Images/58/128539/sac-day-type-c-1a-1m-xmobile-ds199-wb-ava-600x600.jpg,null,150000,,
https://www.thegioididong.com/cap-dien-thoai/sac-day-x-mobile-micro-ts-c079,,Sạc dây Micro USB 1.2 m Xmobile TS-C079,https://cdn.tgdd.vn/Products/Images/58/74135/sac-day-x-mobile-micro-ts-c079-ava-600x600.jpg,null,120000,"Sạc dây Micro USB 1.2 m Xmobile TS-C079 trang bị cổng sạc 1A hỗ trợ sạc hầu hết các loại điện thoại, máy tính bảng hiện nay thông qua đầu cáp Micro USB.",
https://www.thegioididong.com/sac-dtdd/pin-sac-khong-day-10000mah-type-c-pd-qc3-qe10007pq,,Pin sạc dự phòng không dây Polymer 10.000mAh Type C PD QC3.0 Energizer QE10007PQ Xám,https://cdn.tgdd.vn/Products/Images/57/217855/pin-sac-khong-day-10000mah-type-c-pd-qc3-qe10007pq-xam-1-600x600.jpg,null,1000000,,
https://www.thegioididong.com/mieng-dan-man-hinh/mieng-dan-man-hinh-zenfone-2-laser,,Miếng dán màn hình Zenfone 2 Laser,https://cdn.tgdd.vn/Products/Images/1363/73707/mieng-dan-man-hinh-zenfone-2-laser-avatar-1-600x600.jpg,null,50000,,
https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds641-wb-den,,Cáp Lightning MFI 1 m Mbest DS641-WB Đen,https://cdn.tgdd.vn/Products/Images/58/205880/cap-lightning-mfi-1m-mbest-ds641-wb-den-fix1-600x600.jpg,null,250000,,
https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds286-wb-xam,,Cáp Lightning MFI 1 m Mbest DS286-WB Xám,https://cdn.tgdd.vn/Products/Images/58/205882/cap-lightning-mfi-1m-mbest-ds286-wb-xam-moi-1-600x600.jpg,null,250000,,
https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-mbest-ds287-wb-gold,,Cáp Lightning MFI 2 m Mbest DS287-WB Gold,https://cdn.tgdd.vn/Products/Images/58/205964/cap-lightning-mfi-2m-mbest-ds287-wb-gold-1-fixx1-600x600.jpg,null,250000,,
